Stores Visited,,,
Chain,Chain Category,Non-Customers,Customers
SUBWAY,Eating Places,5131,5000
CVS,Drug Stores and Proprietary Stores,4817,4302
Starbucks US,Eating Places,4817,4128
McDonald's,Eating Places,3875,3895
Walgreens,Drug Stores and Proprietary Stores,3456,3140
Taco Bell,Eating Places,2723,3023
Wendy's,Eating Places,3037,2733
Burger King US,Eating Places,2827,2733
Chick-fil-A,Eating Places,2618,2384
Pizza Hut,Eating Places,1257,2151
Chipotle Mexican Grill,Eating Places,1571,2093
Panera Bread,Eating Places,1885,2035
Arby's,Eating Places,1152,1976
Dippin' Dots,Eating Places,1571,1919
Sonic,Eating Places,2094,1802
KFC US,Eating Places,1257,1802
IHOP,Eating Places,942,1628
Chili's Grill & Bar,Eating Places,1257,1570
The Home Depot,Hardware Stores,1676,1570
Rite Aid,Drug Stores and Proprietary Stores,1780,1512
Dairy Queen,Eating Places,1047,1512
Panda Express,Eating Places,1676,1453
Little Caesars,Eating Places,838,1453
Baskin Robbins,Eating Places,942,1453
Olive Garden,Eating Places,838,1453
Applebee's,Eating Places,1780,1395
Five Guys,Eating Places,1152,1279
ALDI,Grocery Stores,1152,1279
Jack in the Box,Eating Places,524,1221
Kroger,Grocery Stores,628,1221
Charley's,Eating Places,1257,1105
Denny's,Eating Places,524,1105
Macy's,Department Stores,942,1047
Health Mart,Drug Stores and Proprietary Stores,209,1047
Cold Stone Creamery,Eating Places,628,1047
Jimmy John's,Eating Places,733,988
JCPenney,Department Stores,1361,930
Red Robin Gourmet Burgers,Eating Places,524,930
Buffalo Wild Wings,Eating Places,1361,930
Lowe's,Hardware Stores,838,930
Sears,Department Stores,1047,872
Kohl's,Department Stores,1152,814
Outback Steakhouse,Eating Places,419,814
Ruby Tuesday,Eating Places,105,814
Jersey Mike's,Eating Places,209,756
Moe's Southwest Grill,Eating Places,733,756
Hardee's,Eating Places,524,698
Smoothie King,Eating Places,733,698
Papa John's,Eating Places,419,698
Good Neighbor Pharmacy,Drug Stores and Proprietary Stores,105,640
Golden Corral,Eating Places,419,640
Menchie's,Eating Places,314,640
LongHorn Steakhouse,Eating Places,628,640
Papa Murphy's,Eating Places,524,640
Noah's New York Bagels,Eating Places,524,640
Trader Joe's,Grocery Stores,733,640
Firehouse Subs,Eating Places,524,581
Texas Roadhouse,Eating Places,524,581
Wingstop,Eating Places,419,581
Waffle House,Eating Places,314,581
Long John Silver's,Eating Places,209,581
Cracker Barrel,Eating Places,314,581
BJ's Restaurants,Eating Places,314,581
Carl's Jr.,Eating Places,314,581
Red Lobster,Eating Places,419,581
Sprouts Farmers Market,Grocery Stores,419,581
Qdoba Mexican Grill,Eating Places,628,523
The Cheesecake Factory,Eating Places,733,523
Einstein Brothers,Eating Places,524,523
TGI Fridays,Eating Places,209,523
Bob Evans,Eating Places,209,523
McAlister's Deli,Eating Places,314,523
Sbarro,Eating Places,942,523
In-N-Out Burger,Eating Places,314,523
Whataburger,Eating Places,524,523
Saks Fifth Avenue,Department Stores,419,465
Dillard's,Department Stores,524,465
Steak 'n Shake,Eating Places,209,465
Zaxby's,Eating Places,419,465
Villa Italian Kitchen,Eating Places,628,465
Del Taco,Eating Places,105,465
Publix Super Markets,Grocery Stores,419,465
Kinnikinnick Foods,Grocery Stores,628,465
Ace Hardware,Hardware Stores,209,465
IACP (The International Academy of Compounding Pharmacists),Drug Stores and Proprietary Stores,314,407
Boston Market,Eating Places,419,407
Jamba Juice,Eating Places,1152,407
P.F. Chang's China Bistro,Eating Places,628,407
Pieology Pizzeria,Eating Places,105,407
Jason's Deli,Eating Places,209,407
Schlotzsky's,Eating Places,209,407
Logan's Roadhouse,Eating Places,419,407
ZoÃ«s Kitchen,Eating Places,105,407
Sarku Japan,Eating Places,628,407
Cheddar's Scratch Kitchen,Eating Places,314,407
Ralphs,Grocery Stores,314,407
Johnny Rockets,Eating Places,524,349
Corner Bakery Cafe,Eating Places,209,349
Yogurtland,Eating Places,314,349
The Coffee Bean & Tea Leaf,Eating Places,314,349
Sweet Tomatoes,Eating Places,209,349
Albertsons,Grocery Stores,105,349
Stater Bros. Markets,Grocery Stores,105,349
Nordstrom,Department Stores,419,291
Culver's,Eating Places,209,291
Smashburger,Eating Places,419,291
Jollibee US,Eating Places,105,291
California Pizza Kitchen,Eating Places,105,291
Ben & Jerry's,Eating Places,314,291
Great Wraps Grill,Eating Places,419,291
Rally's Drive-In Restaurants,Eating Places,209,291
Bojangles',Eating Places,419,291
Captain D's Seafood Restaurant,Eating Places,105,291
TCBY,Eating Places,209,291
WinCo Foods,Grocery Stores,105,291
Wawa,Grocery Stores,419,291
H-E-B,Grocery Stores,314,291
Sav-on Pharmacy,Drug Stores and Proprietary Stores,105,233
Which Wich,Eating Places,838,233
Domino's Pizza,Eating Places,314,233
Round Table Pizza,Eating Places,209,233
Baja Fresh,Eating Places,105,233
On The Border,Eating Places,314,233
Noodles & Company,Eating Places,314,233
A&W Restaurants,Eating Places,105,233
Taco Bueno,Eating Places,105,233
Portillo's Restaurants,Eating Places,209,233
FreshÃ«ns,Eating Places,314,233
sweetFrog Premium Frozen Yogurt,Eating Places,209,233
Quiznos,Eating Places,105,233
Uncle Maddio's Pizza Joint,Eating Places,105,233
Green Leaf's & Bananas,Eating Places,209,233
Haagen Dazs,Eating Places,524,233
Au Bon Pain,Eating Places,209,233
Joe's Crab Shack,Eating Places,105,233
Perkins Restaurant & Bakery,Eating Places,105,233
Another Broken Egg Cafe,Eating Places,209,233
Blaze Pizza,Eating Places,419,233
Vons,Grocery Stores,314,233
Stop & Shop,Grocery Stores,314,233
The Fresh Market,Grocery Stores,105,233
Safeway,Grocery Stores,209,233
Food Lion,Grocery Stores,209,233
Jewel-Osco,Grocery Stores,105,233
Harris Teeter,Grocery Stores,105,233
Smart & Final,Grocery Stores,105,233
Harbor Freight Tools,Hardware Stores,209,233
Carvel,Eating Places,209,174
Tutti Frutti,Eating Places,209,174
Cicis,Eating Places,314,174
Krystal,Eating Places,105,174
Shane's Rib Shack,Eating Places,209,174
The Melting Pot Restaurant,Eating Places,209,174
Togo's Eateries,Eating Places,209,174
Tropical Smoothie CafÃ©,Eating Places,105,174
Pinkberry,Eating Places,209,174
Maggiano's Little Italy,Eating Places,209,174
Freddy's Frozen Custard,Eating Places,314,174
Carrabba's Italian Grill,Eating Places,314,174
Shoney's,Eating Places,105,174
Rubio's Restaurants,Eating Places,314,174
Pita Pit,Eating Places,105,174
Claim Jumper Restaurants,Eating Places,105,174
Marco's Pizza,Eating Places,209,174
Macaroni Grill,Eating Places,105,174
Grocery Outlet,Grocery Stores,105,174
Kangaroo Express,Grocery Stores,209,174
99 Ranch Market,Grocery Stores,105,174
Save-A-Lot (Onex),Grocery Stores,314,174
Casey's General Stores,Grocery Stores,314,174
Turkey Hill,Grocery Stores,105,174
True Value Hardware,Hardware Stores,314,174
Boscov's,Department Stores,105,116
Bloomingdale's,Department Stores,209,116
The Medicine Shoppe,Drug Stores and Proprietary Stores,105,116
Wayback Burgers,Eating Places,105,116
Rita's Italian Ice,Eating Places,314,116
White Castle,Eating Places,105,116
Checkers Drive-In Restaurants,Eating Places,314,116
Pollo Tropical,Eating Places,105,116
Freshii,Eating Places,314,116
El Torito,Eating Places,105,116
Fuddruckers,Eating Places,419,116
Wild Wing Cafe,Eating Places,105,116
Chevys Fresh Mex,Eating Places,105,116
Planet Smoothie,Eating Places,105,116
Miller's Ale House,Eating Places,105,116
Krispy Krunchy Chicken,Eating Places,105,116
Mimi's Cafe,Eating Places,419,116
The Veggie Grill,Eating Places,105,116
Hooters,Eating Places,105,116
Tim Hortons,Eating Places,419,116
Kona Grill,Eating Places,105,116
Pei Wei Asian Diner,Eating Places,209,116
Potbelly Sandwich Works,Eating Places,209,116
Raising Cane's,Eating Places,209,116
Ruth's Chris Steak House,Eating Places,209,116
Mellow Mushroom,Eating Places,209,116
Le Pain Quotidien,Eating Places,314,116
My Fit Foods,Eating Places,105,116
SHOP â€™n SAVE Supermarkets,Grocery Stores,105,116
Smith's Food & Drug Stores,Grocery Stores,105,116
Winn Dixie,Grocery Stores,105,116
Wegmans Food Markets,Grocery Stores,314,116
Cumberland Farms,Grocery Stores,105,116
Piggly Wiggly,Grocery Stores,105,116
Do It Best,Hardware Stores,419,116
Bealls Tx,Department Stores,105,58
Stage Stores,Department Stores,105,58
Smokey Bones,Drinking Places (alcoholic Beverages),105,58
Duane Reade,Drug Stores and Proprietary Stores,209,58
USA Drug,Drug Stores and Proprietary Stores,105,58
Saltgrass Steak House,Eating Places,105,58
Chicken Express,Eating Places,105,58
Granite City Food & Brewery,Eating Places,209,58
Bonefish Grill,Eating Places,105,58
Hot Dog on a Stick,Eating Places,105,58
Caffe Bene,Eating Places,105,58
Ninety Nine Restaurants,Eating Places,105,58
Tijuana Flats,Eating Places,105,58
Salata,Eating Places,105,58
Old Chicago Pizza and Taproom,Eating Places,105,58
Juice Served Here,Eating Places,105,58
Hungry Howie's Pizza & Subs,Eating Places,105,58
Friendly's Ice Cream,Eating Places,314,58
First Watch Restaurants,Eating Places,105,58
Muscle Maker Grill,Eating Places,105,58
Anthony's Coal Fired Pizza,Eating Places,105,58
Bonanza & Ponderosa Steakhouse,Eating Places,105,58
Bullritos,Eating Places,105,58
Islands Restaurants,Eating Places,209,58
Cherry on Top,Eating Places,105,58
Yogen FrÃ¼z,Eating Places,105,58
Gordon Biersch Restaurant & Brewery,Eating Places,105,58
Church's Chicken,Eating Places,524,58
L&L Hawaiian Barbecue,Eating Places,105,58
Marble Slab Creamery,Eating Places,314,58
Taco Cabana,Eating Places,209,58
Shake Shack,Eating Places,314,58
Red Mango,Eating Places,105,58
PDQ,Eating Places,105,58
Taco Maker,Eating Places,105,58
Lettuce Entertain You (LEYE),Eating Places,314,58
Luby's,Eating Places,209,58
American Deli,Eating Places,105,58
Texas de Brazil,Eating Places,105,58
Hale and Hearty,Eating Places,105,58
Uno Chicago Grill,Eating Places,314,58
Giordano's,Eating Places,105,58
Gloria Jean's Gourmet Coffees,Eating Places,105,58
Specialty's Cafe and Bakery,Eating Places,105,58
Seasons 52,Eating Places,209,58
Papa Gino's,Eating Places,105,58
Lawry's Restaurants Inc,Eating Places,105,58
Foods Co.,Grocery Stores,105,58
Dominick's Finer Foods,Grocery Stores,105,58
Giant Food Stores,Grocery Stores,314,58
ShopRite,Grocery Stores,105,58
Randall's Food Markets,Grocery Stores,105,58
Cardenas Markets,Grocery Stores,105,58
Food City,Grocery Stores,105,58
Shaw's,Grocery Stores,105,58
Redner's Markets,Grocery Stores,105,58
Gordon Food Service (GFS),Grocery Stores,105,58
Seafood City,Grocery Stores,209,58
Kwik Trip,Grocery Stores,105,58
Hannaford Supermarkets,Grocery Stores,105,58
Menard's,Hardware Stores,105,58
